county,station,distance
河间市政府,沧州西站,47
闻喜县政府,闻喜西站,13
瓦房店市政府,瓦房店西站,12
普兰店市政府,城子坦站,22
德惠市政府,德惠西站,8
榆树市政府,扶余北站,49
扶余市政府,扶余北站,35
桐庐县政府,诸暨站,61
淳安县政府,歙县北站,57
颍上县政府,淮南东站,82
同安区政府,厦门北站,16
翔安区政府,厦门北站,18
集美区政府,厦门北站,6
莱西市政府,莱西北站,5
青州市政府,青州市站,10
民权县政府,民权北站,4
钟祥市政府,枣阳站,93
祁东县政府,祁东站,16
衡南县政府,衡阳东站,16
白云区政府,广州北站,15
高州市政府,白马井站,46
茂南区政府,树木岭站,75
涪陵区政府,涪陵北站,13
武隆县政府,丰都站,51
沿滩区政府,内江北站,41
西充县政府,南充北站,30
临潼区政府,渭南北站,17
临渭区政府,渭南北站,3
崆峒区政府,云山站,120
镇原县政府,宝鸡南站,161
湟中县政府,西宁站,24
绥中县政府,绥中北站,25
海港区政府,秦皇岛站,2
饶平县政府,饶平站,17
平和县政府,南靖站,37
永川区政府,永川东站,10
沿河土家族自治县政府,桐梓北站,46
三台县政府,绵阳站,48
西峡县政府,十堰站,115
汉南区政府,后湖站,4
凤冈县政府,遵义站,84
沾益县政府,曲靖北站,23
前锋区政府,广安南站,29
灵山县政府,钦州东站,61
闽清县政府,闽清北站,12
宜黄县政府,南丰站,33
牟定县政府,昆明站,121
肃州区政府,玉门站,3
郊区政府,尖山站,65
应城市政府,云梦站,20
罗田县政府,麻城北站,55
户县政府,邑站,11
抚宁县政府,秦皇岛站,17
黔西县政府,息烽站,60
武鸣县政府,南宁站,48
鸩江区政府,北京站,1
筠连县政府,隆昌北站,172
龙江县政府,五龙背东站,65
称多县政府,查干湖站,395
慈溪市政府,余姚北站,19
蜀山区政府,合肥站,5
石屏县政府,玉溪站,76
瓮安县政府,开阳站,46
冀州市政府,衡水北站,30
石阡县政府,三穗站,77
开封县政府,开封北站,21
玉树市政府,观沙岭站,451
彭州市政府,彭州站,20
屏南县政府,古田北站,60
垫江县政府,垫江站,8
苍梧县政府,梧州南站,27
新兴县政府,云浮东站,43
文水县政府,平遥古城站,37
永胜县政府,昆明站,260
花垣县政府,凤凰机场站,58
高淳区政府,溧水站,42
麻章区政府,树木岭站,81
会泽县政府,曲靖北站,102
永济市政府,永济北站,17
秭归县政府,巴东站,41
武进区政府,常州站,9
歙县政府,歙县北站,16
廉江市政府,树木岭站,40
浑源县政府,乌兰察布站,159
隆德县政府,通渭站,85
庐江县政府,长临河站,54
开阳县政府,开阳站,8
兴宾区政府,来宾北站,5
船营区政府,双吉站,13
广平县政府,邯郸东站,42
界首市政府,葛店南站,68
甘谷县政府,秦安站,35
温岭市政府,温岭站,12
望都县政府,定州东站,21
洪洞县政府,洪洞西站,10
新沂市政府,徐州东站,97
义乌市政府,义乌站,8
宝坻区政府,武清站,46
祥云县政府,昆明站,203
中阳县政府,介休东站,74
路桥区政府,温岭站,12
五台县政府,阳泉北站,73
大名县政府,邯郸东站,70
大悟县政府,孝感北站,8
阜宁县政府,滨海站,36
城厢区政府,莆田站,14
常熟市政府,苏州北站,28
瓯海区政府,温州南站,2
济阳县政府,禹城东站,40
绥滨县政府,尖山站,107
蒲江县政府,彭山北站,35
宛城区政府,枣阳站,97
信州区政府,上饶站,6
禹州市政府,许昌东站,48
福鼎市政府,福鼎站,6
淄川区政府,淄博站,17
凌源市政府,绥中北站,126
宁化县政府,尖峰站,52
宝塔区政府,延安站,4
兴宁市政府,剑门关站,79
渝北区政府,复盛站,18
沁源县政府,灵石东站,38
西固区政府,兰州西站,10
鼎城区政府,常德站,9
龙泉市政府,丽水站,88
孝南区政府,孝感东站,6
商都县政府,集宁南站,72
龙华区政府,光明城站,10
东港区政府,青岛站,103
东台市政府,大丰站,32
溧阳市政府,溧阳站,12
宽甸满族自治县政府,凤城东站,75
苏仙区政府,郴州西站,11
邹城市政府,曲阜东站,17
清苑县政府,保定站,14
宾县政府,哈尔滨站,79
鄞州区政府,庄桥站,11
永康市政府,永康南站,5
贺兰县政府,鄂尔多斯站,319
长泰县政府,角美站,25
奉化市政府,奉化站,8
潼南县政府,潼南站,3
眉县政府,杨陵南站,23
谢家集区政府,淮南东站,27
延平区政府,南平北站,10
高安市政府,高安站,18
临淄区政府,青州市站,18
友好区政府,东升站,89
房山区政府,涿州东站,33
建始县政府,建始站,20
余姚市政府,余姚北站,11
宁都县政府,尖峰站,50
玉龙纳西族自治县政府,昆明站,361
赛罕区政府,呼和浩特站,5
平谷区政府,北京站,71
温岭市政府,温岭站,12
迎泽区政府,太原南站,9
新邵县政府,邵阳北站,16
零陵区政府,永州站,25
延庆县政府,北京西站,73
市辖区政府,常平东站,32
六合区政府,仙林站,24
南关区政府,长春站,9
延吉市政府,延吉西站,8
溪湖区政府,本溪站,4
沙坪坝区政府,沙坪坝站,0
胶州市政府,高密站,23
山阳县政府,十堰站,118
亭湖区政府,大丰站,25
通州区政府,北京站,20
北仑区政府,庄桥站,28
