车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
呼和浩特东站,32,"111.765688,40.850196",,,111.765688,40.850196
呼兰站,0,"126.645194,45.998302",,,126.645194,45.998302
呼鲁斯太站,0,"103.342575,37.642456",,,103.342575,37.642456
呼源站,0,"123.578079,51.733208",,,123.578079,51.733208
呼中站,0, ,,,0,0
葫芦岛站,0,"120.868060,40.754199",,,120.86806,40.754199
葫芦岛北站,55,"120.763580,40.743347",,,120.76358,40.743347
湖口站,8,"116.284869,29.729107",,,116.284869,29.729107
湖州站,146,"120.024222,30.862099",,,120.024222,30.862099
虎尔虎拉站,0,"123.550972,47.247787",,,123.550972,47.247787
虎林站,0,"132.977021,45.765672",,,132.977021,45.765672
虎门站,130,"113.673065,22.860954",,,113.673065,22.860954
虎山站,0,"130.630096,45.575096",,,130.630096,45.575096
互助站,0,"102.550651,36.297556",,,102.550651,36.297556
邑站,30,"108.679403,34.079854",,,108.679403,34.079854
花湖站,4,"115.022331,30.261181",,,115.022331,30.261181
花家庄站,0,"104.482857,25.784878",,,104.482857,25.784878
花棚子站,0,"101.913330,26.257967",,,101.91333,26.257967
花桥站,2,"121.045242,31.335533",,,121.045242,31.335533
花山南站,3,"114.512929,30.52827",,,114.512929,30.52827
花园站,0,"113.978546,31.242527",,,113.978546,31.242527
花园口站,6,"113.720757,34.878941",,,113.720757,34.878941
华城站,0,"115.625168,24.070890",,,115.625168,24.07089
华家站,2,"125.146416,44.292267",,,125.146416,44.292267
华容东站,9,"112.626291,29.554242",,,112.626291,29.554242
华容南站,3,"114.774279,30.446792",,,114.774279,30.446792
华山站,0,"128.943420,45.138130",,,128.94342,45.13813
华山北站,81,"110.099098,34.581432",,,110.099098,34.581432
华蓥站,0,"106.783088,30.390435",,,106.783088,30.390435
化德站,0,"114.038732,41.896973",,,114.038732,41.896973
化州站,0,"110.651665,21.653164",,,110.651665,21.653164
桦林站,0,"129.675171,44.677956",,,129.675171,44.677956
桦南站,0,"130.583341,46.244156",,,130.583341,46.244156
桦皮厂站,0,"126.231895,43.996647",,,126.231895,43.996647
怀化站,0,"109.967147,27.558320",,,109.967147,27.55832
怀化南站,112,"109.992897,27.512446",,,109.992897,27.512446
怀集站,32,"112.159454,23.892349",,,112.159454,23.892349
怀仁站,0,"113.094418,39.827866",,,113.094418,39.827866
怀仁东站,0,"113.163149,39.793147",,,113.163149,39.793147
怀柔站,0,"116.648797,40.317243",,,116.648797,40.317243
怀柔北站,0,"116.692473,40.409117",,,116.692473,40.409117
淮安站,0,"119.033080,33.648829",,,119.03308,33.648829
淮北站,12,"116.803776,33.966925",,,116.803776,33.966925
淮北北站,6,"116.85073,34.046844",,,116.85073,34.046844
淮滨站,0,"115.358214,32.441248",,,115.358214,32.441248
淮南站,0,"117.019460,32.631160",,,117.01946,32.63116
淮南东站,50,"117.150048,32.646217",,,117.150048,32.646217
槐荫站,2,"113.96519,30.896259",,,113.96519,30.896259
桓龙湖站,0,"116.756299,23.365528",,,116.756299,23.365528
换新天站,0,"133.063538,47.362389",,,133.063538,47.362389
荒沟西站,0,"128.371902,42.554802",,,128.371902,42.554802
黄柏站,0,"126.341232,41.337578",,,126.341232,41.337578
黄村站,0,"113.408920,23.130243",,,113.40892,23.130243
黄冈站,22,"114.943815,30.485798",,,114.943815,30.485798
黄冈东站,36,"114.985024,30.507420",,,114.985024,30.50742
黄冈西站,20,"114.887767,30.503880",,,114.887767,30.50388
黄瓜园站,0,"101.863556,25.823687",,,101.863556,25.823687
黄河景区站,10,"123.419464,41.825027",,,123.419464,41.825027
黄花筒站,0,"120.965317,43.154667",,,120.965317,43.154667
黄家店站,0,"118.205551,41.968479",,,118.205551,41.968479
黄口站,0,"116.697624,34.359993",,,116.697624,34.359993
黄陵站,0,"109.229834,35.575522",,,109.229834,35.575522
黄陵南站,4,"109.262961,35.579428",,,109.262961,35.579428
黄流站,16,"108.797188,18.540262",,,108.797188,18.540262
黄梅站,0,"115.942658,30.093794",,,115.942658,30.093794
黄泥河站,0,"128.017365,43.555443",,,128.017365,43.555443
黄泥崴子站,0,"107.005890,31.107576",,,107.00589,31.107576
黄山站,0,"118.322302,29.722354",,,118.322302,29.722354
黄山北站,62,"118.272306,29.815252",,,118.272306,29.815252
黄石站,0,"115.086585,30.218124",,,115.086585,30.218124
黄石北站,55,"115.008108,30.211442",,,115.008108,30.211442
黄松甸站,0,"127.727875,43.641914",,,127.727875,43.641914
黄羊滩站,0,"106.018806,38.259693",,,106.018806,38.259693
黄羊湾站,0,"105.525452,37.511974",,,105.525452,37.511974
黄羊镇站,0,"103.167290,36.190327",,,103.16729,36.190327
黄州站,0,"115.005062,30.585936",,,115.005062,30.585936
湟源站,0,"101.242862,36.692932",,,101.242862,36.692932
潢川站,0, ,,,0,0
珲春站,26,"130.403009,42.902025",,,130.403009,42.902025
辉河站,0,"119.267265,48.834457",,,119.267265,48.834457
徽县站,0,"106.201106,33.700075",,,106.201106,33.700075
汇流河站,0,"120.830963,49.291607",,,120.830963,49.291607
会昌北站,6,"115.785208,25.826862",,,115.785208,25.826862
会同站,0,"109.716857,26.871616",,,109.716857,26.871616
惠安站,23,"118.714828,25.057271",,,118.714828,25.057271
惠东站,29,"114.793969,22.844593",,,114.793969,22.844593
惠环站,46,"114.561661,23.125044",,,114.561661,23.125044
惠农站,0,"106.727329,39.262196",,,106.727329,39.262196
惠山站,22,"120.201262,31.670014",,,120.201262,31.670014
惠州站,0,"114.416410,23.151530",,,114.41641,23.15153
惠州南站,121,"114.492152,22.784778",,,114.492152,22.784778
火炬沟站,0,"128.026367,42.494713",,,128.026367,42.494713
获嘉站,0,"113.649127,35.255905",,,113.649127,35.255905
霍城站,0,"80.732246,44.189066",,,80.732246,44.189066
霍尔果斯站,0,"80.418540,44.203946",,,80.41854,44.203946
霍林郭勒站,0,"119.669573,45.534773",,,119.669573,45.534773
霍邱站,0, ,,,0,0
霍州站,0,"111.719685,36.585907",,,111.719685,36.585907
霍州东站,37,"111.836529,36.564927",,,111.836529,36.564927
芨岭站,0,"101.788269,38.530952",,,101.788269,38.530952
鸡东站,0,"131.151750,45.252549",,,131.15175,45.252549
鸡西站,0,"130.978064,45.304556",,,130.978064,45.304556
吉安站,0,"115.021083,27.105257",,,115.021083,27.105257
吉林站,127,"126.578164,43.859146",,,126.578164,43.859146
吉林西站,0, ,,,0,0
吉首站,0,"109.735476,28.324112",,,109.735476,28.324112
吉舒站,0,"126.802551,44.288155",,,126.802551,44.288155
吉文站,0,"123.209770,50.589146",,,123.20977,50.589146
吉新河站,0, ,,,0,0
即墨北站,31,"120.394264,36.403793",,,120.394264,36.403793
集安站,0,"126.204853,41.136103",,,126.204853,41.136103
集宁南站,6,"113.099700,41.030871",,,113.0997,41.030871
纪家沟站,0,"118.133644,41.929340",,,118.133644,41.92934
济南站,118,"116.991734,36.670651",,,116.991734,36.670651
济南东站,0,"117.026510,36.681242",,,117.02651,36.681242
济南西站,273,"116.892552,36.669033",,,116.892552,36.669033
济宁站,0,"116.601013,35.392719",,,116.601013,35.392719
济源站,0,"112.574105,35.110157",,,112.574105,35.110157
绩溪北站,32,"118.572286,30.070587",,,118.572286,30.070587
绩溪县站,0,"118.583806,30.055659",,,118.583806,30.055659
蓟州站,0, ,,,0,0
稷山站,0, ,,,0,0
加格达奇站,0,"124.126246,50.420783",,,124.126246,50.420783
加南站,0,"107.940926,24.191147",,,107.940926,24.191147
佳木斯站,0,"130.383219,46.804781",,,130.383219,46.804781
嘉善站,0,"120.918199,30.850199",,,120.918199,30.850199
嘉善南站,57,"120.935691,30.787908",,,120.935691,30.787908
嘉祥站,0,"116.358485,35.392576",,,116.358485,35.392576
嘉兴站,0,"120.763317,30.764482",,,120.763317,30.764482
嘉兴南站,186,"120.799780,30.690965",,,120.79978,30.690965
嘉峪关站,0,"98.254166,39.764430",,,98.254166,39.76443
嘉峪关南站,28,"98.310337,39.718095",,,98.310337,39.718095
甲山站,0,"118.264915,40.788727",,,118.264915,40.788727
尖峰站,5,"116.483398,26.747997",,,116.483398,26.747997
尖山站,29,"131.158416,46.646350",,,131.158416,46.64635
简阳站,0,"104.553051,30.379156",,,104.553051,30.379156
简阳南站,16,"104.518059,30.353654",,,104.518059,30.353654
碱柜站,0,"106.761833,39.940903",,,106.761833,39.940903
建安站,0,"118.362595,27.068186",,,118.362595,27.068186
建昌站,0,"119.823295,40.806615",,,119.823295,40.806615
建宁县北站,41,"116.870963,26.915720",,,116.870963,26.91572
建瓯站,0,"118.294685,27.024099",,,118.294685,27.024099
建瓯西站,46,"118.279929,27.048530",,,118.279929,27.04853
建三江站,0, ,,,0,0
建始站,38,"109.728324,30.567821",,,109.728324,30.567821
建水站,0,"102.872488,23.658107",,,102.872488,23.658107
建阳站,0,"118.113396,27.353939",,,118.113396,27.353939
剑门关站,24,"116.037437,23.600676",,,116.037437,23.600676
江都站,6,"119.577788,32.458590",,,119.577788,32.45859
江华站,0,"111.555433,25.180138",,,111.555433,25.180138
江门东站,40,"113.094942,22.590431",,,113.094942,22.590431
江密峰站,0,"126.751633,43.964748",,,126.751633,43.964748
江宁站,20,"118.898636,31.935474",,,118.898636,31.935474
江宁西站,9,"118.595728,31.823461",,,118.595728,31.823461
江桥站,0,"123.684319,46.771297",,,123.684319,46.771297
江山站,51,"118.643701,28.771946",,,118.643701,28.771946
江所田站,0,"104.479713,24.970690",,,104.479713,24.97069
江永站,0, ,,,0,0
江油站,44,"104.770434,31.781457",,,104.770434,31.781457
江油北站,11,"105.076464,31.982591",,,105.076464,31.982591
江源站,0, ,,,0,0
将乐站,38,"117.479109,26.695725",,,117.479109,26.695725
姜家站,0,"118.664497,29.484289",,,118.664497,29.484289
姜堰站,10,"120.118497,32.534654",,,120.118497,32.534654
交城站,0,"112.155174,37.557474",,,112.155174,37.557474
胶州站,0,"119.999637,36.297827",,,119.999637,36.297827
蛟河站,0,"127.351763,43.725445",,,127.351763,43.725445
蛟河西站,37,"127.300227,43.729296",,,127.300227,43.729296
焦作站,28,"113.234918,35.221880",,,113.234918,35.22188
角美站,18,"117.916252,24.534664",,,117.916252,24.534664
揭阳站,0,"116.369893,23.570387",,,116.369893,23.570387
介休站,0,"111.919165,37.018084",,,111.919165,37.018084
介休东站,31,"111.988097,37.052938",,,111.988097,37.052938
界首市站,0,"115.374564,33.257013",,,115.374564,33.257013
金宝屯站,0,"123.577812,43.383064",,,123.577812,43.383064
金昌站,0,"102.064147,38.371429",,,102.064147,38.371429
金城江站,0,"108.065660,24.699220",,,108.06566,24.69922
金沟屯站,0,"117.517105,41.059803",,,117.517105,41.059803
金河站,0,"121.500816,51.337540",,,121.500816,51.33754
金华站,156,"119.635526,29.110163",,,119.635526,29.110163
金华南站,60,"119.738689,29.114217",,,119.738689,29.114217
金家店站,0,"126.883812,42.355740",,,126.883812,42.35574
金口河站,0,"103.115409,29.299779",,,103.115409,29.299779
金林站,0,"121.276146,51.144344",,,121.276146,51.144344
金山北站,42,"121.089579,30.894218",,,121.089579,30.894218
金山屯站,0,"129.423389,47.423295",,,129.423389,47.423295
金山卫站,145,"121.362685,30.728230",,,121.362685,30.72823
金山园区站,70,"121.367450,30.829967",,,121.36745,30.829967
金银潭站,4,"106.301025,26.399189",,,106.301025,26.399189
金月湾站,10,"115.027939,30.043133",,,115.027939,30.043133
金寨站,59,"115.975720,31.625681",,,115.97572,31.625681
金杖子站,0,"119.504990,40.885395",,,119.50499,40.885395
金州站,18,"121.727277,39.087947",,,121.727277,39.087947
锦和站,0,"109.938751,27.733021",,,109.938751,27.733021
锦河站,0,"127.414482,50.137039",,,127.414482,50.137039
锦界站,0,"110.155312,38.723606",,,110.155312,38.723606
锦州站,0,"121.141233,41.124650",,,121.141233,41.12465
锦州南站,66,"121.124772,41.016494",,,121.124772,41.016494
进贤站,0,"116.246156,28.354486",,,116.246156,28.354486
进贤南站,35,"116.234785,28.338205",,,116.234785,28.338205
劲松站,0,"116.450668,39.882648",,,116.450668,39.882648
晋城站,0,"112.873339,35.475619",,,112.873339,35.475619
晋城北站,0,"112.905060,35.509255",,,112.90506,35.509255
晋江站,62,"118.459320,24.794300",,,118.45932,24.7943
晋中站,23,"112.642638,37.686428",,,112.642638,37.686428
晋州站,0,"115.032139,38.021024",,,115.032139,38.021024
缙云站,0,"120.095455,28.660748",,,120.095455,28.660748
缙云西站,62,"120.056510,28.677227",,,120.05651,28.677227
京山站,0,"113.136728,31.036691",,,113.136728,31.036691
泾川站,0,"107.365969,35.348055",,,107.365969,35.348055
泾县站,28,"118.419864,30.688578",,,118.419864,30.688578
经棚站,0,"117.537674,43.273048",,,117.537674,43.273048
荆门站,0,"112.211882,31.050740",,,112.211882,31.05074
荆州站,138,"112.213126,30.369712",,,112.213126,30.369712
旌德站,24,"118.529820,30.292348",,,118.52982,30.292348
精河南站,0,"82.920586,44.606073",,,82.920586,44.606073
井店站,0,"113.722412,36.604771",,,113.722412,36.604771
井冈山站,0,"114.297576,26.727922",,,114.297576,26.727922
井陉站,0,"114.136972,38.034818",,,114.136972,38.034818
井南站,0,"120.300720,33.253048",,,120.30072,33.253048
景德镇站,0,"117.221617,29.285310",,,117.221617,29.28531
景德镇北站,18,"117.242061,29.338732",,,117.242061,29.338732
景泰站,0, ,,,0,0
景州站,6,"116.272995,37.691872",,,116.272995,37.691872
靖边站,0,"108.821102,37.658902",,,108.821102,37.658902
靖西站,0,"106.391054,23.147446",,,106.391054,23.147446
靖远站,0,"104.674313,36.550622",,,104.674313,36.550622
靖远西站,0, ,,,0,0
靖州站,0, ,,,0,0
静海站,0,"116.929877,38.932666",,,116.929877,38.932666
镜铁山站,0, ,,,0,0
九江站,48,"116.005962,29.704792",,,116.005962,29.704792
九郎山站,13,"108.230400,24.075603",,,108.2304,24.075603
九龙站,0, ,,,0,0
九三站,0,"125.256187,48.881821",,,125.256187,48.881821
九台站,0,"125.838846,44.149789",,,125.838846,44.149789
九台南站,10,"125.811690,44.022510",,,125.81169,44.02251
九营站,0,"131.953644,46.919895",,,131.953644,46.919895
酒泉站,0, ,,,0,0
酒泉南站,21,"98.535587,39.701530",,,98.535587,39.70153
莒南站,0,"118.847635,35.183335",,,118.847635,35.183335
莒县站,0,"118.840414,35.651625",,,118.840414,35.651625
巨野站,0,"116.098873,35.397875",,,116.098873,35.397875
句容西站,12,"118.980054,31.832794",,,118.980054,31.832794
鄄城站,0,"115.510193,35.563408",,,115.510193,35.563408
军粮城北站,22,"117.42752,39.066222",,,117.42752,39.066222
峻德站,0,"130.291611,47.196819",,,130.291611,47.196819
喀喇其站,0,"122.056274,50.701626",,,122.056274,50.701626
喀什站,0,"76.047843,39.492897",,,76.047843,39.492897
卡伦站,0,"125.555763,44.022591",,,125.555763,44.022591
开安站,2,"125.205498,44.166187",,,125.205498,44.166187
开封站,0,"114.353134,34.771189",,,114.353134,34.771189
开封北站,46,"114.261713,34.839531",,,114.261713,34.839531
开福寺站,50,"112.980472,28.220620",,,112.980472,28.22062
开化站,6,"118.408666,29.125508",,,118.408666,29.125508
开江站,0,"107.801719,30.913773",,,107.801719,30.913773
开鲁站,0,"121.284771,43.632868",,,121.284771,43.632868
开通站,0,"123.077339,44.805386",,,123.077339,44.805386
开阳站,8,"106.974157,27.041487",,,106.974157,27.041487
开原站,0,"124.172644,42.632113",,,124.172644,42.632113
开原西站,27,"123.918484,42.549692",,,123.918484,42.549692
凯北站,0, ,,,0,0
凯里站,0,"107.976367,26.602940",,,107.976367,26.60294
凯里南站,75,"107.887315,26.516046",,,107.887315,26.516046
康金井站,0,"126.817139,46.196625",,,126.817139,46.196625
康庄站,0,"115.898270,40.379906",,,115.89827,40.379906
柯柯站,0,"98.255791,36.984417",,,98.255791,36.984417
岢岚站,0,"111.581271,38.718807",,,111.581271,38.718807
克东站,0,"126.211898,48.160622",,,126.211898,48.160622
克拉玛依站,0,"84.869315,45.611034",,,84.869315,45.611034
克山站,0,"125.850856,48.016332",,,125.850856,48.016332
克一河站,0,"122.493919,50.651684",,,122.493919,50.651684
孔家沟站,0,"120.646751,40.792500",,,120.646751,40.7925
孔垄站,0,"115.898048,29.911366",,,115.898048,29.911366
口前站,0,"126.526031,45.890476",,,126.526031,45.890476
库车站,0,"83.016742,41.694374",,,83.016742,41.694374
库都尔站,0,"121.630379,50.026634",,,121.630379,50.026634
库尔勒站,0,"86.194823,41.747164",,,86.194823,41.747164
库伦站,0,"121.832397,42.739777",,,121.832397,42.739777
宽甸站,0,"124.781827,40.719874",,,124.781827,40.719874
奎山站,0,"130.407928,45.228607",,,130.407928,45.228607
奎屯站,0,"84.900587,44.403131",,,84.900587,44.403131
葵潭站,31,"115.997932,23.063885",,,115.997932,23.063885
昆都仑召站,0, ,,,0,0
昆明站,16,"102.721725,25.015834",,,102.721725,25.015834
昆明南站,138,"102.862417,24.870376",,,102.862417,24.870376
昆山站,0,"120.956936,31.365716",,,120.956936,31.365716
昆山南站,214,"120.950857,31.353254",,,120.950857,31.353254
昆阳站,0,"102.608589,24.663301",,,102.608589,24.663301
拉白站,0,"102.636589,28.574276",,,102.636589,28.574276
拉古站,0,"123.820213,41.726532",,,123.820213,41.726532
拉哈站,0,"124.629997,48.205532",,,124.629997,48.205532
拉林站,0,"126.896553,45.231125",,,126.896553,45.231125
拉萨站,0,"91.070254,29.623103",,,91.070254,29.623103
拉站,0,"101.928894,26.371666",,,101.928894,26.371666
砬子河站,0,"127.705673,42.519047",,,127.705673,42.519047
喇嘛甸站,0,"124.780380,46.708389",,,124.78038,46.708389
喇嘛山站,0,"122.261116,48.386497",,,122.261116,48.386497
来宾站,0,"109.241658,23.730604",,,109.241658,23.730604
来宾北站,68,"109.244330,23.752318",,,109.24433,23.752318
莱芜东站,0,"117.693870,36.229344",,,117.69387,36.229344
莱西站,0,"120.518085,36.809967",,,120.518085,36.809967
莱西北站,35,"120.529356,36.822982",,,120.529356,36.822982
莱阳站,52,"120.708845,36.928025",,,120.708845,36.928025
涞源站,0,"114.712039,39.371808",,,114.712039,39.371808
濑湍站,0,"107.501663,22.445158",,,107.501663,22.445158
兰岗站,0,"129.412201,44.267406",,,129.412201,44.267406
兰家屯站,0,"123.255905,41.889305",,,123.255905,41.889305
兰考站,0,"114.819312,34.814521",,,114.819312,34.814521
兰考南站,33,"114.824453,34.772197",,,114.824453,34.772197
兰棱站,0,"126.189362,45.220814",,,126.189362,45.220814
兰陵北站,0,"118.064546,34.986080",,,118.064546,34.98608
兰岭站,0,"130.712646,45.303413",,,130.712646,45.303413
兰溪站,0,"119.479730,29.213518",,,119.47973,29.213518
兰州站,29,"103.851238,36.034823",,,103.851238,36.034823
兰州东站,0,"103.891600,36.030084",,,103.8916,36.030084
兰州西站,127,"103.752739,36.068391",,,103.752739,36.068391
兰州新区站,7,"103.655136,36.485980",,,103.655136,36.48598
蓝村站,0,"120.183914,36.395317",,,120.183914,36.395317
狼尾山站,0,"98.038330,39.622665",,,98.03833,39.622665
阆中站,11,"105.957232,31.557677",,,105.957232,31.557677
廊坊站,41,"116.708118,39.509275",,,116.708118,39.509275
廊坊北站,0,"116.705768,39.513185",,,116.705768,39.513185
朗乡站,0,"128.878448,46.958977",,,128.878448,46.958977
老边站,0,"122.368322,40.674982",,,122.368322,40.674982
老城镇站,5,"110.117679,19.932707",,,110.117679,19.932707
老府站,0,"118.273331,42.190067",,,118.273331,42.190067
老莱站,0,"125.006523,48.649014",,,125.006523,48.649014
老岭站,0,"126.299942,41.411343",,,126.299942,41.411343
老羊壕站,0,"109.840973,41.394047",,,109.840973,41.394047
老爷岭站,0,"127.189041,43.927219",,,127.189041,43.927219
老营站,0,"126.360611,41.886253",,,126.360611,41.886253
乐昌站,0,"113.357319,25.129303",,,113.357319,25.129303
乐昌东站,12,"113.395170,25.113344",,,113.39517,25.113344
乐东站,24,"108.938580,18.445241",,,108.93858,18.445241
乐都站,0, ,,,0,0
乐都南站,10,"102.391055,36.467881",,,102.391055,36.467881
乐平市站,0,"117.163919,28.957235",,,117.163919,28.957235
乐清站,35,"120.859452,28.084152",,,120.859452,28.084152
乐山站,31,"103.712707,29.601903",,,103.712707,29.601903
乐善村站,0,"103.156319,25.037355",,,103.156319,25.037355
乐武站,0,"102.625610,28.300451",,,102.62561,28.300451
乐跃站,0,"102.322357,27.295111",,,102.322357,27.295111
雷州站,0,"110.094370,20.901070",,,110.09437,20.90107
耒阳站,0,"112.822996,26.404344",,,112.822996,26.404344
耒阳西站,32,"112.788199,26.414996",,,112.788199,26.414996
冷水江东站,0,"111.467375,27.658504",,,111.467375,27.658504
离堆公园站,10,"103.613289,30.996822",,,103.613289,30.996822
梨树镇站,0, ,,,0,0
黎城站,0, ,,,0,0
黎塘站,0,"109.133171,23.195194",,,109.133171,23.195194
礼泉站,0,"108.419055,34.431260",,,108.419055,34.43126
李家站,0,"119.933693,36.742512",,,119.933693,36.742512
李家坪站,0,"101.788269,38.530949",,,101.788269,38.530949
李石寨站,0,"123.727524,41.817265",,,123.727524,41.817265
李旺站,0,"106.102715,36.663952",,,106.102715,36.663952
里木店站,0,"126.214340,45.967094",,,126.21434,45.967094
澧县站,0,"111.604631,29.819325",,,111.604631,29.819325
醴陵站,0,"113.511358,27.670164",,,113.511358,27.670164
醴陵东站,38,"113.578001,27.714875",,,113.578001,27.714875
立志站,0,"124.570473,45.994514",,,124.570473,45.994514
丽江站,0,"100.208716,26.883431",,,100.208716,26.883431
丽水站,81,"119.953894,28.441475",,,119.953894,28.441475
励家站,0,"122.355469,41.737415",,,122.355469,41.737415
利川站,47,"108.940287,30.278346",,,108.940287,30.278346
利津南站,0, ,,,0,0
沥林北站,37,"114.238426,22.975706",,,114.238426,22.975706
溧水站,74,"119.096321,31.679117",,,119.096321,31.679117
溧阳站,83,"119.503032,31.385949",,,119.503032,31.385949
连江站,25,"119.566523,26.194396",,,119.566523,26.194396
连山关站,0, ,,,0,0
连云港东站,0,"119.340681,34.718051",,,119.340681,34.718051
连珠山站,0, ,,,0,0
莲东站,0,"112.644646,35.129971",,,112.644646,35.129971
莲花山站,0, ,,,0,0
莲江口站,0, ,,,0,0
涟源站,0,"111.675704,27.684735",,,111.675704,27.684735
联合乡站,0,"102.467300,28.272491",,,102.4673,28.272491
廉江站,0,"110.296657,21.614856",,,110.296657,21.614856
良各庄站,0,"115.937401,39.719116",,,115.937401,39.719116
凉红站,0,"102.823425,29.087376",,,102.823425,29.087376
梁底下站,0,"117.625549,41.108303",,,117.625549,41.108303
梁平站,0, ,,,0,0
梁平南站,37,"107.769943,30.642445",,,107.769943,30.642445
梁山站,0,"116.112275,35.802558",,,116.112275,35.802558
两当站,0, ,,,0,0
两家站,2,"123.946709,45.527924",,,123.946709,45.527924
辽阳站,56,"123.168998,41.281879",,,123.168998,41.281879
辽源站,0,"125.129307,42.905276",,,125.129307,42.905276
辽中站,10,"122.771232,41.559091",,,122.771232,41.559091
聊城站,0,"115.943826,36.457178",,,115.943826,36.457178
寮步站,59,"113.882324,22.952980",,,113.882324,22.95298
林东站,0,"119.412865,43.934647",,,119.412865,43.934647
林海站,0,"124.357460,51.578934",,,124.35746,51.578934
林家台站,0,"123.952240,40.717667",,,123.95224,40.717667
林口站,0,"130.270226,45.292858",,,130.270226,45.292858
林盛堡站,0,"123.363457,41.579304",,,123.363457,41.579304
林西站,0,"118.081582,43.593443",,,118.081582,43.593443
林源站,0,"124.763016,46.344074",,,124.763016,46.344074
林子头站,0,"126.599739,41.950577",,,126.599739,41.950577
临城站,0,"114.611802,37.469615",,,114.611802,37.469615
